dx,dy,dz,freqdx,frequency
-0.229668707068975075E+000,-0.191387931481960705E+000,-0.262949176972842646E+000,0,1254.75876479
0.159491552614982268E+000,0.431051434719528337E+000,0.206168285190826778E+000,0,1254.75876479
0.236759007645553243E+000,0.183069215102590055E+000,0.454150504807765754E+000,0,1254.75876479
0.443407987658915648E+000,0.147134999675595124E+000,0.247501524794404182E+000,0,1254.75876479
-0.471574273983792966E-001,-0.100847219941343519E+000,-0.480694822534840195E-003,0,1254.75876479
0.256050711178181234E+000,-0.304884166657259092E+000,-0.173298044700598286E-002,1,1254.75876479
-0.572218437134382751E-001,0.125712046788558574E+000,0.304326550018966802E+000,1,1254.75876479
-0.384545948922726533E+000,0.402179940489862442E+000,0.278586563176635958E-001,1,1254.75876479
-0.553506774440503599E-001,0.123840880519171165E+000,-0.301336615161012678E+000,1,1254.75876479
-0.386417115192114358E+000,0.400308774220474339E+000,-0.248687214597095065E-001,1,1254.75876479
0.200523423302083087E+000,0.170104760659831433E+000,-0.298954933229824193E+000,2,1254.75876479
-0.426213882924880993E+000,-0.936018732177606172E-001,0.274317622267389150E+000,2,1254.75876479
0.802480792120222053E-001,0.122911051987602313E+000,0.578046970620245681E-001,2,1254.75876479
-0.103420634972729630E+000,-0.416395121169911953E+000,0.241473411246777681E+000,2,1254.75876479
-0.242545168740127992E+000,-0.199882195964547482E+000,0.457986336452140430E+000,2,1254.75876479
-0.111022302462515654E-015,-0.152655665885959024E-015,-0.277555756156289135E-015,3,1486.19144512
0.278409273934200896E+000,0.397789646471854053E+000,0.119380372537653198E+000,3,1486.19144512
0.278409273934200452E+000,-0.397789646471853831E+000,-0.119380372537653073E+000,3,1486.19144512
-0.278409273934200285E+000,-0.397789646471853331E+000,0.119380372537653490E+000,3,1486.19144512
-0.278409273934200618E+000,0.397789646471853775E+000,-0.119380372537653850E+000,3,1486.19144512
-0.138777878078144568E-015,-0.163064006741819867E-015,0.582867087928207184E-015,4,1486.19144512
-0.298588249691942087E+000,0.918153790302268791E-001,0.390403628722169327E+000,4,1486.19144512
-0.298588249691942864E+000,-0.918153790302270734E-001,-0.390403628722170049E+000,4,1486.19144512
0.298588249691942698E+000,-0.918153790302262962E-001,0.390403628722169271E+000,4,1486.19144512
0.298588249691942975E+000,0.918153790302266848E-001,-0.390403628722170881E+000,4,1486.19144512
0.826736460483643961E-015,0.405150989603995578E-015,0.116970442172323894E-015,5,2958.26137156
0.288675134594812255E+000,-0.288675134594812310E+000,0.288675134594812088E+000,5,2958.26137156
0.288675134594812255E+000,0.288675134594812088E+000,-0.288675134594811755E+000,5,2958.26137156
-0.288675134594813032E+000,0.288675134594813032E+000,0.288675134594812755E+000,5,2958.26137156
-0.288675134594814031E+000,-0.288675134594814309E+000,-0.288675134594813865E+000,5,2958.26137156
0.100163623278849354E+000,-0.243723576891151483E+000,0.153333181545786762E+000,6,3087.34200118
-0.451999527078472518E+000,0.443658705267584219E+000,-0.448910380000131670E+000,6,3087.34200118
0.279185858431618139E+000,0.259206039634730878E+000,-0.264457714367278607E+000,6,3087.34200118
-0.169634401494415055E+000,0.161293579683526866E+000,0.184362545558754309E+000,6,3087.34200118
-0.317926715243898369E-002,-0.231590859493260547E-001,-0.901200740983441981E-004,6,3087.34200118
0.171416590110026523E+000,0.180914771905237304E+000,0.175588142724515062E+000,7,3087.34200118
-0.142969163430182011E+000,0.163439587354205024E+000,-0.142726796557271440E+000,7,3087.34200118
-0.152778223037447314E+000,-0.152226379435608128E+000,0.172939170232542239E+000,7,3087.34200118
0.180378773863314440E+000,-0.159908349939291400E+000,-0.160217826668220042E+000,7,3087.34200118
-0.476126160330940851E+000,-0.475574316729101554E+000,-0.475883793458029558E+000,7,3087.34200118
0.231362484276559865E+000,-0.285247488643888894E-001,-0.196475793663035275E+000,8,3087.34200118
-0.449443694797466847E-001,0.567292256671899017E-001,-0.698017391735866605E-001,8,3087.34200118
-0.354228487753796673E+000,-0.369327915191670297E+000,0.356255401685273920E+000,8,3087.34200118
-0.406757198200866865E+000,0.418542054388310769E+000,0.408784112132344446E+000,8,3087.34200118
0.758434096732532766E-002,-0.751508647054814627E-002,-0.172730287265145666E-001,8,3087.34200118
